archetype,gap_topic,title_option_1,title_option_2,title_option_3,subtitle,emotional_hook,emotional_label,priority
Wilderness Survivor,Psychological Survival in Isolation,The Solitary Survivor,Alone in the Wild,The Hermit's Handbook,Maintaining Mental Health and Purpose in Long-Term Wilderness Isolation,"What happens to your mind after 6 months alone? How do you stay sane when there's nobody left?",FEAR,HIGH
Wilderness Survivor,Wilderness Weapons Crafting,The Primitive Armory,Forged in the Wild,Weapons from Nothing,Crafting Knives Spears Axes and Bows from Natural Materials,"When ammunition runs out, can you craft weapons that actually work?",HOPE,HIGH
Wilderness Survivor,Wilderness Childbirth & Infant Care,Born in the Backcountry,The Wilderness Midwife,Primitive Childbirth,Delivering Babies and Caring for Infants Without Medical Care,"The most vulnerable moment in human life—in the most vulnerable location. Are you prepared?",FEAR,MEDIUM
Wilderness Survivor,Primitive Food Preservation,The Long Winter,Ancient Preservation Methods,Food Without Freezers,Smoking Curing Drying and Fermenting Food Without Electricity,"Summer abundance becomes winter famine without these ancient skills. Master them before it's too late.",FEAR,HIGH
Wilderness Survivor,Wilderness Elder Care,The Burden of the Weak,Caring for the Vulnerable,No One Left Behind,Caring for Elderly Disabled and Injured in Primitive Conditions,"When society collapses, what happens to grandma? Are you prepared to make impossible choices?",ANGER,MEDIUM
Digital Defender,Biometric Privacy Defeat,The Faceless Citizen,Defeating the All-Seeing Eye,Biometric Ghost,Defeating Facial Recognition Fingerprint Scanners and Iris Readers,"They're scanning your face at every corner. Gas stations. Stores. Streets. Can you disappear?",FEAR,HIGH
Digital Defender,Cell Phone Tracking Defeat,Off the Grid,The Phoneless Life,Cellular Freedom,Defeating Cell Tower Triangulation IMSI Catchers and Baseband Attacks,"Your phone is a tracking ankle bracelet you paid for. Ready to cut it off?",ANGER,HIGH
Digital Defender,Financial Privacy in Digital Age,Invisible Money,The Anonymous Economy,Financial Ghost,Anonymous Banking Cash Alternatives and Breaking Your Financial Trail,"Every transaction is logged. Every purchase tracked. Every account monitored. Can you break free?",FEAR,HIGH
Digital Defender,AI Surveillance Resistance,The Algorithm's Enemy,Defeating Digital Omniscience,Human Against Machine,Resisting Predictive Analytics Algorithmic Profiling and AI Monitoring,"AI predicts your next move before you make it. How do you fight an enemy that knows you better than yourself?",FEAR,MEDIUM
Digital Defender,Digital Dead Man Switches,The Last Testament,Encrypted Inheritance,Data Beyond Death,Automated Data Release Encrypted Wills and Post-Death Digital Control,"When they silence you, your data speaks. Set up your insurance policy before it's too late.",PRIDE,MEDIUM
Environment Specialist,Mountain & High-Altitude,The Vertical Survivor,Above the Treeline,Thin Air Survival,Surviving Mountains High Altitude and Alpine Emergencies,"At 14,000 feet, your body starts dying. Slowly. Are you ready for vertical survival?",FEAR,HIGH
Environment Specialist,Open Ocean Survival,Adrift,The Blue Desert,Weeks at Sea,Surviving Multi-Week Ocean Exposure Sharks and Dehydration,"Just you, empty horizon, and certain death in every direction. The ocean is the cruelest environment on Earth.",FEAR,HIGH
Environment Specialist,Underground/Cave Survival,The Underworld,Subterranean Sanctuary,Living Below,Surviving in Caves Mines Tunnels and Underground Bunkers,"When the surface becomes uninhabitable, the depths call. Can you answer?",HOPE,MEDIUM
Environment Specialist,Volcanic Region Survival,Fire from Below,Ash Fall Protocol,The Burning Ground,Surviving Volcanic Eruptions Ash Fall and Geothermal Hazards,"Yellowstone. Cascadia. Hawaii. When the supervolcano blows, distance won't save you—knowledge will.",FEAR,HIGH
Environment Specialist,Earthquake Zone Preparedness,When the Ground Breaks,Seismic Survival,The Big One,Before During and After Massive Earthquakes and Structural Collapse,"California. Pacific Northwest. New Madrid. It's not IF—it's WHEN. Are you ready for the Big One?",FEAR,HIGH
Financial Survivalist,Real Estate in Collapse,The Last Landlord,Property When Money Dies,Real Estate Doomsday,Owning Property During Hyperinflation and Societal Collapse,"When currency becomes worthless, land becomes priceless. But can you hold it?",HOPE,HIGH
Financial Survivalist,Offshore Banking & Tax Havens,The Offshore Vault,Financial Exile,Money Without Borders,International Accounts Asset Protection and Foreign Wealth Structures,"The walls are closing in domestically. Time to go international with your wealth.",PRIDE,MEDIUM
Financial Survivalist,Skills-Based Income Streams,The Collapse-Proof Career,Skills That Never Die,Post-Apocalypse Professions,Recession-Proof and Collapse-Proof Income Skills,"When the economy crashes, some skills become worthless. Others become priceless. Which side will you be on?",HOPE,HIGH
Financial Survivalist,Black Market Economics,The Shadow Economy,Underground Commerce,Trading in the Darkness,Succeeding in Black Markets Gray Markets and Underground Economics,"Legal economy fails. Illegal economy thrives. Know the rules of the game that replaces it.",ANGER,HIGH
Financial Survivalist,Cryptocurrency Security Advanced,The Bitcoin Fortress,Digital Gold Lockdown,Crypto Vault Mastery,Hardware Wallets Multisig Inheritance and Ultimate OPSEC,"You own Bitcoin. But do you REALLY own it? One mistake and it's gone forever.",FEAR,MEDIUM
Field Medic,Battlefield Medicine Tactics,Combat Casualty Care,Under Fire,The Warzone Medic,Triage Under Fire Treating Penetrating Trauma in Active Shooter Scenarios,"When the bullets are flying and your loved one is bleeding out, you have 3 minutes. What do you do?",FEAR,HIGH
Field Medic,Birthing & Women's Health,The Crisis Midwife,Born Without Hospitals,Emergency Childbirth,Delivering Babies C-Section Emergencies and Gynecological Crises,"Birth is dangerous even WITH hospitals. Without them, it becomes a life-or-death lottery.",FEAR,HIGH
Field Medic,Mental Health Crisis Response,The Unquiet Mind,Psychological First Aid,Crisis Psychiatry,Suicide Prevention Psychotic Breaks and PTSD Without Therapists,"Mental health collapses faster than physical health. Can you talk someone off the ledge?",FEAR,MEDIUM
Field Medic,Veterinary Medicine Crossover,The Animal Doctor,Vet Supplies for Humans,Fish Mox and Beyond,Using Veterinary Antibiotics Supplies and Knowledge for Human Medicine,"Vet antibiotics are chemically identical—and legally available. Learn the crossover knowledge doctors won't teach.",ANGER,HIGH
Field Medic,Radiation Exposure Treatment,Fallout Medicine,When the Atom Splits,Nuclear Emergency Care,Treating Acute Radiation Sickness Contamination and Radioactive Exposure,"Nuclear war. Dirty bombs. Reactor meltdowns. Radiation kills slowly and painfully. Learn to fight back.",FEAR,MEDIUM
Field Medic,Surgical Procedures Advanced,The Emergency Surgeon,Knife Work,Procedures No One Should Do,Appendectomy C-Section and Life-Saving Surgery Without Training,"These procedures require years of medical school. But when it's your wife or child dying, you'll do them anyway.",ANGER,HIGH
Family Protector,Homeschooling During Crisis,The Home Academy,Teaching in the Ruins,Emergency Education,Homeschooling When Schools Close and Society Collapses,"Education stops when society stops. Your kids' future depends on YOUR ability to teach.",HOPE,HIGH
Family Protector,Special Needs Children,The Special Needs Sanctuary,Protecting the Vulnerable,Crisis Care for Special Kids,Autism Disabilities and Medical Needs During Emergencies,"Special needs kids require special planning. In a crisis, they become exponentially more vulnerable.",FEAR,HIGH
Family Protector,Newborn & Infant Survival,The Littlest Survivors,Babies in Crisis,Infant Emergency Guide,Formula Shortage Diapering Without Supplies and Baby Food Alternatives,"Babies are the most vulnerable humans on Earth. In a crisis, they die first—unless you know what you're doing.",FEAR,HIGH
Family Protector,Home Defense With Kids,The Family Fortress,Tactical Parenting,Armed and Dangerous—Safely,Protecting Your Home Without Endangering Children,"You need to defend your home. You also need to keep your kids safe. These goals conflict. Here's how to win both.",PRIDE,HIGH
